user_id,data_content_id,counts,create_time,data_title
3492,1278,1.0251865836,1562545550,南平地区家庭悦读视频投票
3218,1278,1.0713605714,1562545276,南平地区家庭悦读视频投票
3076,1278,1.0503727407,1562545084,南平地区家庭悦读视频投票
3491,1278,1.062965526,1562544926,南平地区家庭悦读视频投票
2817,1278,1.0251865836,1562544929,南平地区家庭悦读视频投票
2869,1278,1.0419774287,1562544932,南平地区家庭悦读视频投票
2907,1278,1.0377797421,1562544842,南平地区家庭悦读视频投票
2898,1278,1.0503727407,1562544779,南平地区家庭悦读视频投票
2800,1278,1.0587679579,1562544645,南平地区家庭悦读视频投票
3085,1278,1.096544839,1562544601,南平地区家庭悦读视频投票
3079,1278,1.0461750955,1562544465,南平地区家庭悦读视频投票
2919,4883,1.0,1562544530,外交部福建全球推介活动刷爆朋友圈
2830,1278,1.0755580448,1562544491,南平地区家庭悦读视频投票
3321,1278,1.0041977754,1562544437,南平地区家庭悦读视频投票
2819,1278,1.062965526,1562544314,南平地区家庭悦读视频投票
3489,1278,1.0167910821,1562544174,南平地区家庭悦读视频投票
3204,1278,1.0167910821,1562544219,南平地区家庭悦读视频投票
2884,1278,1.062965526,1562543991,南平地区家庭悦读视频投票
2924,1278,1.0167910821,1562543955,南平地区家庭悦读视频投票
2925,4574,1.0041977754,1562543645,黄海文家庭《如何成为一个男子汉》
3487,529,1.0,1562543429,莆田新闻综合广播
3487,1091,1.0041977754,1562543429,综合频道
2823,1278,1.0461750955,1562543665,南平地区家庭悦读视频投票
3009,515,1.0,1562543587,都市广播
3099,1278,1.0419774287,1562543553,南平地区家庭悦读视频投票
3208,1278,1.0167910821,1562543528,南平地区家庭悦读视频投票
2981,1278,1.0251865836,1562543436,南平地区家庭悦读视频投票
3301,1278,1.0209888378,1562543062,南平地区家庭悦读视频投票
2940,1278,1.1217274719,1562543052,南平地区家庭悦读视频投票
3117,1278,1.0335820377,1562542872,南平地区家庭悦读视频投票
3486,1278,1.0167910821,1562542835,南平地区家庭悦读视频投票
2912,1278,1.0839528829,1562542753,南平地区家庭悦读视频投票
3210,1278,1.0125933184,1562542594,南平地区家庭悦读视频投票
2789,4501,1.0,1562542008,小屏丨《暮色中洲岛》
3405,1278,1.0,1562542430,南平地区家庭悦读视频投票
2789,4500,1.0,1562542008,小屏丨《航拍泉州》
2868,1278,1.0167910821,1562542084,南平地区家庭悦读视频投票
2789,1278,1.0461750955,1562542008,南平地区家庭悦读视频投票
3390,1278,1.0,1562541817,南平地区家庭悦读视频投票
2943,1278,1.0377797421,1562541438,南平地区家庭悦读视频投票
3484,1278,1.1049392527,1562541424,南平地区家庭悦读视频投票
3319,1278,1.0377797421,1562541379,南平地区家庭悦读视频投票
3104,1278,1.0545703621,1562541276,南平地区家庭悦读视频投票
3267,1278,1.0419774287,1562541225,南平地区家庭悦读视频投票
3483,4883,1.0,1562540891,外交部福建全球推介活动刷爆朋友圈
3483,1278,1.0209888378,1562540891,南平地区家庭悦读视频投票
3462,1278,1.0881502437,1562540791,南平地区家庭悦读视频投票
2849,1278,1.0923475631,1562540407,南平地区家庭悦读视频投票
3453,4871,1.0,1562540043,暴雨霸占闽西北地区！省防指启动防暴雨Ⅳ级应急响应！
2988,4878,1.0,1562540099,心痛！福建16岁少女与家人争吵后离家，2天后被发现溺亡！
3453,4885,1.0,1562540043,福州警方摧毁一个全链条网络赌博团伙 涉案金额2000万元
3374,4565,1.0,1562540143,曹秀芬家庭《悦读——连接一家三代的爱心线》
2804,1278,1.117530498,1562540169,南平地区家庭悦读视频投票
2887,1091,1.0,1562539930,综合频道
3069,4897,1.0041977754,1562539800,全省防御暴雨视频会召开 省防指启动防暴雨IV级应急响应
3069,1278,1.0545703621,1562539800,南平地区家庭悦读视频投票
3275,1278,1.0881502437,1562539715,南平地区家庭悦读视频投票
3374,1278,1.0209888378,1562539709,南平地区家庭悦读视频投票
3482,1278,1.0377797421,1562539677,南平地区家庭悦读视频投票
3289,1278,1.0209888378,1562539668,南平地区家庭悦读视频投票
2970,1278,1.0167910821,1562539602,南平地区家庭悦读视频投票
3432,1278,1.0461750955,1562539641,南平地区家庭悦读视频投票
3033,1278,1.0167910821,1562539568,南平地区家庭悦读视频投票
2813,1278,1.0587679579,1562539492,南平地区家庭悦读视频投票
3189,1278,1.0881502437,1562539436,南平地区家庭悦读视频投票
3481,1278,1.0209888378,1562538361,南平地区家庭悦读视频投票
2985,1278,1.0755580448,1562538220,南平地区家庭悦读视频投票
3022,1278,1.0713605714,1562538082,南平地区家庭悦读视频投票
3305,1278,1.096544839,1562537911,南平地区家庭悦读视频投票
3082,1278,1.0881502437,1562537372,南平地区家庭悦读视频投票
3417,4893,1.0,1562536756,铁路中断、桥梁倒塌、道路溜方、洪峰来临！抢险救灾正在进行！
3325,1278,1.0461750955,1562536837,南平地区家庭悦读视频投票
3073,1278,1.0881502437,1562536423,南平地区家庭悦读视频投票
3480,1278,1.0461750955,1562536290,南平地区家庭悦读视频投票
3129,1278,1.096544839,1562535935,南平地区家庭悦读视频投票
3135,1278,1.0881502437,1562535798,南平地区家庭悦读视频投票
3338,1278,1.130121246,1562535549,南平地区家庭悦读视频投票
2902,1278,1.1049392527,1562535331,南平地区家庭悦读视频投票
3000,1278,1.0755580448,1562535325,南平地区家庭悦读视频投票
3244,4870,1.0,1562534973,百米11秒04！福建三明名将葛曼棋成亚洲女飞人！
2935,1278,1.1049392527,1562535235,南平地区家庭悦读视频投票
3479,1278,1.0419774287,1562535106,南平地区家庭悦读视频投票
3278,4878,1.0,1562535006,心痛！福建16岁少女与家人争吵后离家，2天后被发现溺亡！
3244,4893,1.0,1562534973,铁路中断、桥梁倒塌、道路溜方、洪峰来临！抢险救灾正在进行！
3004,1278,1.1133334689,1562534749,南平地区家庭悦读视频投票
3027,4909,1.0,1562551780,政和县自然资源局发布地质灾害气象风险黄色预警
3123,1278,1.1091363864,1562531530,南平地区家庭悦读视频投票
3185,1278,1.172086129,1562531329,南平地区家庭悦读视频投票
3030,1278,1.1972613011,1562530432,南平地区家庭悦读视频投票
3244,1278,1.0461750955,1562529157,南平地区家庭悦读视频投票
3108,1278,1.0923475631,1562529023,南平地区家庭悦读视频投票
3014,1278,1.0881502437,1562528892,南平地区家庭悦读视频投票
2876,1278,1.117530498,1562527256,南平地区家庭悦读视频投票
2595,515,1.0,1562526933,都市广播
33,1091,1.0,1562525661,综合频道
3444,1278,1.0209888378,1562522609,南平地区家庭悦读视频投票
3023,1278,1.0209888378,1562522576,南平地区家庭悦读视频投票
3131,1278,1.0923475631,1562521706,南平地区家庭悦读视频投票
2998,1278,1.1762822048,1562521395,南平地区家庭悦读视频投票
3089,1278,1.0587679579,1562521070,南平地区家庭悦读视频投票
3236,1278,1.0797554826,1562521059,南平地区家庭悦读视频投票
3282,1278,1.0293843176,1562533491,南平地区家庭悦读视频投票
3037,2452,1.0,1562520685,东南卫视亲子阅读节目《悦读·家》将于6月开播
2931,1278,1.0461750955,1562518993,南平地区家庭悦读视频投票
2903,1278,1.1678899723,1562518860,南平地区家庭悦读视频投票
2797,1278,1.1049392527,1562518267,南平地区家庭悦读视频投票
2847,1278,1.0713605714,1562517632,南平地区家庭悦读视频投票
3412,1278,1.0545703621,1562517542,南平地区家庭悦读视频投票
3153,4894,1.0,1562517556,省防指今晚召开全省防御暴雨视频会 全面部署防御工作
3304,1278,1.0881502437,1562517341,南平地区家庭悦读视频投票
3196,1278,1.1427114431,1562517326,南平地区家庭悦读视频投票
2773,1278,1.0041977754,1562550122,南平地区家庭悦读视频投票
279,1278,1.1343180422,1562517254,南平地区家庭悦读视频投票
3221,1278,1.117530498,1562516854,南平地区家庭悦读视频投票
3176,1278,1.0755580448,1562516744,南平地区家庭悦读视频投票
2731,889,1.0,1562516264,少儿频道
2780,1278,1.0587679579,1562516373,南平地区家庭悦读视频投票
3333,1278,1.0377797421,1562516089,南平地区家庭悦读视频投票
2952,1278,1.0503727407,1562516072,南平地区家庭悦读视频投票
2866,1278,1.0839528829,1562516077,南平地区家庭悦读视频投票
3071,1278,1.0671630645,1562515837,南平地区家庭悦读视频投票
2807,1278,1.1511045757,1562515775,南平地区家庭悦读视频投票
2910,1278,1.062965526,1562515743,南平地区家庭悦读视频投票
2864,1278,1.1217274719,1562515703,南平地区家庭悦读视频投票
2786,1278,1.1385147752,1562515714,南平地区家庭悦读视频投票
2897,1278,1.2601836942,1562515656,南平地区家庭悦读视频投票
2774,1278,1.1427114431,1562515592,南平地区家庭悦读视频投票
3146,1278,1.1511045757,1562515492,南平地区家庭悦读视频投票
3329,1278,1.0209888378,1562515429,南平地区家庭悦读视频投票
2999,1278,1.062965526,1562515391,南平地区家庭悦读视频投票
3149,1278,1.1133334689,1562515347,南平地区家庭悦读视频投票
3020,1278,1.096544839,1562515348,南平地区家庭悦读视频投票
3186,1278,1.0713605714,1562515309,南平地区家庭悦读视频投票
2826,1278,1.0671630645,1562515265,南平地区家庭悦读视频投票
2808,1278,1.2308229303,1562515206,南平地区家庭悦读视频投票
3032,1278,1.1385147752,1562515141,南平地区家庭悦读视频投票
3136,1278,1.062965526,1562515101,南平地区家庭悦读视频投票
3173,1278,1.1469080439,1562515089,南平地区家庭悦读视频投票
3469,1278,1.1133334689,1562515060,南平地区家庭悦读视频投票
3183,1278,1.2308229303,1562515080,南平地区家庭悦读视频投票
3296,1278,1.0503727407,1562515068,南平地区家庭悦读视频投票
3127,1278,1.172086129,1562515048,南平地区家庭悦读视频投票
3138,1278,1.172086129,1562514990,南平地区家庭悦读视频投票
3287,1278,1.0587679579,1562514985,南平地区家庭悦读视频投票
3315,1278,1.0461750955,1562514902,南平地区家庭悦读视频投票
2977,1278,1.0671630645,1562514911,南平地区家庭悦读视频投票
3277,1278,1.062965526,1562514839,南平地区家庭悦读视频投票
2806,1278,1.2098476618,1562514788,南平地区家庭悦读视频投票
3226,1278,1.0419774287,1562514568,南平地区家庭悦读视频投票
3183,4867,1.0,1562514513,省防指启动防暴雨Ⅳ级应急响应！
3056,1278,1.0419774287,1562514749,南平地区家庭悦读视频投票
2888,1278,1.0671630645,1562511132,南平地区家庭悦读视频投票
2956,1278,1.1133334689,1562514742,南平地区家庭悦读视频投票
2784,1278,1.1469080439,1562514626,南平地区家庭悦读视频投票
3336,1278,1.1343180422,1562514634,南平地区家庭悦读视频投票
2772,1278,1.0881502437,1562514589,南平地区家庭悦读视频投票
3297,1278,1.1553010363,1562514550,南平地区家庭悦读视频投票
3018,1278,1.0923475631,1562514547,南平地区家庭悦读视频投票
3291,4418,1.0,1562513988,大屏丨《福道弯弯》
3130,4835,1.0,1562514382,蓝营2020党内初选民调8日起跑 吴敦义亲自释疑
3297,4609,1.0,1562514227,南平地区家庭展示：延平游秀梅家庭
3085,4895,1.0,1562514362,蔡当局诬称台农产品销往大陆影响“台湾安全”
3293,1091,1.0083955489,1562514018,综合频道
2945,4529,1.0,1562513717,外交部驻港公署负责人强烈谴责暴力冲击立法会 要求少数国家揭下“双重标准”的虚伪面纱
3183,4809,1.0,1562514146,南平：“延福门”水位超警戒 居民撤离商户歇业
3183,4818,1.0,1562514146,福建：发展高质量 开放有气度
3183,4727,1.0,1562514146,每帧精美画面都能当壁纸！福建省广播影视集团制作主题推介片和暖场片亮相国际
3176,2445,1.0041977754,1562514090,悦读·家@万家
3130,3921,1.0041977754,1562514007,喜报 | “悦读•家@万家” 三明地区前三名新鲜出炉啦！
3136,2445,1.0,1562513981,悦读·家@万家
3144,3921,1.0,1562513999,喜报 | “悦读•家@万家” 三明地区前三名新鲜出炉啦！
2779,1091,1.0041977754,1562513997,综合频道
3226,4579,1.0,1562513853,直播预告：悦读·家@万家 | 南平地区专场网络直播
2959,4802,1.0,1562513869,第1帮帮团+爱心帮帮团+调解有1套
3071,3921,1.0,1562513589,喜报 | “悦读•家@万家” 三明地区前三名新鲜出炉啦！
3027,4896,1.0,1562513686,印尼马鲁古海北部附近发生7.0级左右地震
3071,4734,1.0,1562513589,福建这些“宝贝”，亮相外交部
2493,4887,1.0041977754,1562513584,省政府投资项目评审中心：主动担当作为 加强项目发展研究
2988,4895,1.0,1562513562,蔡当局诬称台农产品销往大陆影响“台湾安全”
2945,4878,1.0041977754,1562513580,心痛！福建16岁少女与家人争吵后离家，2天后被发现溺亡！
3069,4894,1.0,1562512427,省防指今晚召开全省防御暴雨视频会 全面部署防御工作
3291,2445,1.0251865836,1562513456,悦读·家@万家
2788,2445,1.0041977754,1562513443,悦读·家@万家
3153,2393,1.0,1562513352,微视频专区（勿删）
2834,3921,1.0125933184,1562513270,喜报 | “悦读•家@万家” 三明地区前三名新鲜出炉啦！
3422,4854,1.0,1562513032,五千多年前的良渚古国到底有多好?
3336,4835,1.0,1562508486,蓝营2020党内初选民调8日起跑 吴敦义亲自释疑
3132,4893,1.0,1562512351,铁路中断、桥梁倒塌、道路溜方、洪峰来临！抢险救灾正在进行！
2772,4889,1.0,1562511715,央视纪录片《中国影像方志——浦城篇》开机
3422,4867,1.0,1562512036,省防指启动防暴雨Ⅳ级应急响应！
3422,2445,1.0,1562512036,悦读·家@万家
2977,1057,1.0,1562511931,福建广电中心 LED大屏媒体推介
3478,1276,1.0251865836,1562511455,南平地区家庭悦读视频投票
2731,4892,1.0,1562510992,正在直播：海峡新干线
2988,4835,1.0,1562510654,蓝营2020党内初选民调8日起跑 吴敦义亲自释疑
2808,4563,1.0,1562510366,伍夏云家庭《行小善 聚大爱》
2808,4574,1.0041977754,1562510366,黄海文家庭《如何成为一个男子汉》
2808,4861,1.0,1562509249,挺住！暴雨霸占闽西北地区
3472,1276,1.0335820377,1562509108,南平地区家庭悦读视频投票
3106,2393,1.0,1562509023,微视频专区（勿删）
3103,4859,1.0,1562508623,福建车主注意！下月起车牌绑定驾照？销分要实名？真相在这里！
3167,1091,1.0,1562507924,综合频道
3301,29,1.0,1562507631,东南广播
3455,4867,1.0,1562507701,省防指启动防暴雨Ⅳ级应急响应！
3301,14,1.0,1562507631,新闻广播
3468,1276,1.0251865836,1562507528,南平地区家庭悦读视频投票
3469,1276,1.0251865836,1562507249,南平地区家庭悦读视频投票
3411,1091,1.0,1562506837,综合频道
3389,4470,1.0,1562505936,国家主席习近平签署发布特赦令
3453,4891,1.0,1562505606,"省少工委为20家""红领巾校外体验示范基地""集中授牌"
3464,1276,1.0209888378,1562504192,南平地区家庭悦读视频投票
3462,1276,1.0545703621,1562503212,南平地区家庭悦读视频投票
2918,4807,1.0,1562502177,"建宁：""为荷而来""建莲文化旅游嘉年华开幕"
1772,227,1.0,1562502946,作品名称：大屏《福建风光》作品描述：故乡的炊烟像一根丝线，一头系着家乡，一头系在心头，陪伴我们度过漫…
2918,4811,1.0,1562502177,厦门：人在家中坐  石从天上来
2918,4828,1.0,1562502177,持续降雨 南平多地开展抗灾自救
3363,1278,1.0,1562548707,南平地区家庭悦读视频投票
2902,4882,1.0,1562502347,省防指进一步会商部署强降雨防御工作 福建启动防暴雨Ⅳ级应急响应
2918,4875,1.0,1562502177,南平：电力线路多处受损 供电部门冒雨抢修
3461,1276,1.0209888378,1562502192,南平地区家庭悦读视频投票
3459,1276,1.0167910821,1562501445,南平地区家庭悦读视频投票
3127,4882,1.0,1562501101,省防指进一步会商部署强降雨防御工作 福建启动防暴雨Ⅳ级应急响应
3103,4561,1.0,1562500864,欧水华家庭《以爱传家 润物无声》
3416,1,1.0,1562499904,体育频道
3457,559,1.0041977754,1562500973,莆田新闻综合频道
3458,1276,1.0251865836,1562500940,南平地区家庭悦读视频投票
325,1091,1.0167910821,1562500452,综合频道
325,14,1.0167910821,1562500452,新闻广播
3416,4922,1.0,1562499904,旅游频道
3456,1276,1.0587679579,1562500362,南平地区家庭悦读视频投票
3015,4837,1.0,1562500046,携手共创美好未来 第二届海峡两岸青年发展论坛启幕
3416,4871,1.0,1562499904,暴雨霸占闽西北地区！省防指启动防暴雨Ⅳ级应急响应！
3416,4849,1.0,1562499904,推介活动的26道美食“刷屏”　保障团队来自福州
2819,14,1.0,1562500099,新闻广播
